destination,date,weather,temperature,travelRestriction
YYZ,2025-12-23T15:35:00,Cloudy,-5.4,None
JFK,2024-03-09T17:16:00,Snowy,-4.0,Health Check
YVR,2024-12-26T04:31:00,Sunny,3.0,None
AMS,2025-05-28T03:00:00,Sunny,-3.9,None
FRA,2025-12-28T20:24:00,Rainy,16.9,Health Check
SIN,2024-02-02T09:48:00,Rainy,24.2,None
YYZ,2024-09-10T16:52:00,Cloudy,20.6,Visa Required
SJO,2025-01-28T10:09:00,Cloudy,25.2,Health Check
CDG,2025-12-16T03:33:00,Rainy,9.3,None
DEL,2024-05-17T00:18:00,Rainy,31.6,None
CDG,2025-12-27T14:00:00,Snowy,28.1,Visa Required
YUL,2025-02-03T18:22:00,Cloudy,31.8,Health Check
YVR,2025-12-17T13:08:00,Sunny,16.0,Visa Required
PTY,2024-11-01T10:42:00,Rainy,28.6,Health Check
SJO,2024-12-15T05:26:00,Snowy,-8.8,Visa Required
MEX,2025-02-17T18:25:00,Rainy,25.8,Health Check
SIN,2025-09-28T06:42:00,Sunny,-10.0,None
HKG,2024-07-20T07:13:00,Sunny,28.9,None
MEX,2024-12-24T03:33:00,Sunny,-1.7,Health Check
NRT,2024-11-20T05:12:00,Snowy,-0.1,Health Check
SIN,2024-07-12T00:38:00,Rainy,20.2,Visa Required
LAX,2024-08-18T22:28:00,Cloudy,29.4,Health Check
DOH,2024-09-30T01:59:00,Cloudy,20.8,None
YVR,2024-08-22T00:12:00,Snowy,3.6,Health Check
JFK,2025-02-22T03:41:00,Cloudy,32.2,Visa Required
NRT,2024-11-29T12:07:00,Sunny,17.0,None
SJO,2025-02-15T03:33:00,Rainy,28.8,Health Check
FRA,2025-02-24T02:18:00,Sunny,25.1,None
DEL,2025-01-16T10:10:00,Sunny,34.7,Health Check
LAX,2025-12-31T23:46:00,Cloudy,10.2,Visa Required
DXB,2025-09-21T21:58:00,Snowy,0.7,None
CUN,2025-02-05T13:57:00,Sunny,24.3,None
MEX,2025-02-08T16:52:00,Sunny,18.4,None
AMS,2025-11-07T08:03:00,Cloudy,31.4,None
HKG,2025-02-05T15:02:00,Snowy,0.6,Health Check
FRA,2025-09-13T05:05:00,Sunny,-2.4,None
YUL,2024-09-09T02:41:00,Rainy,1.1,Visa Required
JFK,2024-04-07T22:49:00,Cloudy,29.7,Health Check
YYZ,2025-04-01T16:22:00,Snowy,0.2,Visa Required
YVR,2024-02-02T07:32:00,Sunny,14.4,Health Check
SIN,2024-06-13T18:55:00,Snowy,14.1,Health Check
JFK,2025-07-16T22:38:00,Sunny,19.6,Health Check
HKG,2025-03-29T21:29:00,Sunny,-9.0,None
MEX,2025-01-14T21:53:00,Sunny,31.5,Visa Required
LAX,2024-05-22T23:43:00,Cloudy,24.7,None
CDG,2024-06-14T06:52:00,Rainy,5.0,Health Check
YUL,2025-10-02T08:04:00,Sunny,22.5,None
LAX,2025-05-19T05:38:00,Rainy,-1.2,None
FRA,2024-05-23T09:31:00,Sunny,7.6,Health Check
JFK,2024-11-21T08:01:00,Rainy,-6.6,Health Check
YYZ,2025-03-04T16:16:00,Sunny,-1.5,None
ORD,2024-04-27T16:44:00,Sunny,29.3,Visa Required
FRA,2025-09-22T03:52:00,Sunny,14.1,Visa Required
NRT,2024-11-17T18:34:00,Cloudy,27.1,None
SJO,2024-04-15T15:48:00,Cloudy,27.5,Health Check
FRA,2024-01-09T03:58:00,Snowy,10.2,Health Check
ORD,2024-04-06T19:06:00,Sunny,6.7,Visa Required
YUL,2025-07-12T11:33:00,Rainy,12.5,None
LHR,2024-08-09T05:14:00,Snowy,-6.8,Health Check
ORD,2024-06-13T23:34:00,Snowy,32.8,Health Check
NRT,2025-11-14T16:43:00,Cloudy,2.8,Health Check
LAX,2024-05-14T12:33:00,Cloudy,32.6,Visa Required
DOH,2024-01-23T05:01:00,Cloudy,11.2,None
CUN,2024-07-11T22:11:00,Rainy,33.6,Visa Required
LHR,2025-07-18T00:24:00,Cloudy,22.0,None
DXB,2025-06-02T18:11:00,Snowy,-4.0,Visa Required
YVR,2025-09-27T22:12:00,Sunny,3.9,None
PTY,2025-05-16T20:24:00,Sunny,-8.6,None
NRT,2025-12-19T14:34:00,Sunny,16.2,Visa Required
NRT,2025-08-20T22:19:00,Sunny,-3.8,Health Check
NRT,2024-10-19T11:07:00,Rainy,-0.0,Health Check
SJO,2024-07-22T22:55:00,Cloudy,20.9,Health Check
ORD,2025-12-28T00:43:00,Sunny,2.7,None
CDG,2025-12-30T05:21:00,Sunny,11.9,Visa Required
FRA,2024-01-09T20:58:00,Sunny,23.2,Health Check
LHR,2025-04-30T08:33:00,Cloudy,3.5,Visa Required
ORD,2024-12-28T13:46:00,Sunny,27.1,Visa Required
MEX,2024-10-31T03:03:00,Sunny,22.1,Health Check
MEX,2025-11-24T19:59:00,Sunny,33.6,None
LHR,2024-01-03T08:40:00,Sunny,5.8,Visa Required
PTY,2025-02-26T10:24:00,Rainy,2.6,Health Check
YVR,2025-05-03T08:06:00,Snowy,-3.7,None
YUL,2024-08-05T05:43:00,Sunny,14.4,None
LAX,2025-12-31T10:34:00,Cloudy,25.5,Health Check
YYZ,2025-07-10T14:00:00,Cloudy,19.8,Health Check
HKG,2024-06-25T01:49:00,Rainy,28.5,Visa Required
MIA,2025-08-26T03:14:00,Snowy,6.0,Health Check
NRT,2024-04-14T22:01:00,Snowy,22.0,Health Check
PTY,2024-09-25T19:52:00,Rainy,-3.8,None
PTY,2024-07-23T19:59:00,Sunny,17.3,None
HKG,2025-12-26T01:19:00,Cloudy,23.0,Health Check
MIA,2025-08-30T00:53:00,Snowy,14.2,None
CUN,2024-12-10T15:16:00,Rainy,33.7,None
SJO,2025-09-18T03:59:00,Rainy,17.6,Visa Required
CUN,2024-03-28T08:23:00,Snowy,22.0,Health Check
AMS,2025-03-05T00:26:00,Rainy,24.8,None
DOH,2025-12-19T01:07:00,Sunny,20.4,None
DOH,2025-01-15T06:46:00,Sunny,20.6,None
YVR,2024-10-28T13:20:00,Sunny,13.3,Health Check
MIA,2025-03-06T09:40:00,Rainy,3.9,Health Check
MEX,2024-09-18T22:20:00,Sunny,24.1,Visa Required
YUL,2024-01-20T06:47:00,Sunny,-0.3,Health Check
ORD,2025-11-17T22:03:00,Sunny,2.6,Visa Required
LHR,2025-02-13T10:00:00,Sunny,-7.1,None
MIA,2025-08-24T21:07:00,Rainy,-10.0,Health Check
YVR,2024-10-18T15:51:00,Snowy,27.9,None
PTY,2024-10-18T00:49:00,Snowy,29.1,None
LAX,2024-08-07T20:12:00,Cloudy,29.5,Visa Required
JFK,2024-04-12T11:57:00,Sunny,-1.7,Health Check
LHR,2025-10-22T11:26:00,Rainy,10.2,None
JFK,2024-12-14T13:23:00,Snowy,24.7,Visa Required
CDG,2024-12-23T19:37:00,Rainy,17.6,Visa Required
YYZ,2025-02-09T11:44:00,Cloudy,18.7,Health Check
LAX,2025-04-05T05:15:00,Sunny,34.1,Visa Required
YYZ,2025-03-20T03:05:00,Snowy,-0.3,None
YYZ,2025-03-01T22:23:00,Cloudy,21.7,Visa Required
FRA,2024-11-20T08:06:00,Snowy,4.8,None
LAX,2025-05-21T15:49:00,Cloudy,25.5,None
DOH,2025-03-24T03:02:00,Snowy,13.9,Health Check
CDG,2025-06-20T21:56:00,Sunny,16.3,Health Check
FRA,2025-03-12T01:13:00,Snowy,27.3,None
YVR,2025-05-31T10:38:00,Cloudy,7.3,None
YUL,2024-08-04T06:43:00,Sunny,-3.4,None
JFK,2025-05-03T16:02:00,Rainy,-1.1,Health Check
LHR,2024-11-03T11:24:00,Rainy,34.8,Visa Required
HKG,2024-07-09T19:10:00,Sunny,8.5,None
AMS,2025-04-12T23:04:00,Snowy,18.5,None
AMS,2025-03-20T23:40:00,Sunny,-3.5,Health Check
LAX,2024-11-24T17:15:00,Cloudy,22.1,None
DEL,2024-03-13T22:31:00,Rainy,-4.1,Health Check
PTY,2025-03-25T06:51:00,Sunny,-7.0,Visa Required
LHR,2024-08-01T13:00:00,Snowy,28.1,Health Check
FRA,2025-08-25T17:14:00,Cloudy,-3.7,Health Check
AMS,2025-09-11T14:33:00,Snowy,-10.0,Visa Required
ORD,2024-06-07T13:21:00,Snowy,32.1,Health Check
FRA,2024-10-05T12:03:00,Snowy,11.1,None
FRA,2024-02-02T03:01:00,Sunny,5.5,Visa Required
JFK,2024-11-01T20:10:00,Snowy,32.2,Visa Required
LAX,2025-02-26T16:25:00,Snowy,17.0,None
DXB,2024-03-17T01:27:00,Rainy,25.4,None
YVR,2024-02-13T05:15:00,Cloudy,3.7,None
SJO,2024-10-09T10:59:00,Rainy,-7.7,None
DXB,2024-12-09T21:31:00,Snowy,33.3,Visa Required
LAX,2025-04-15T15:40:00,Cloudy,7.8,Health Check
SIN,2025-02-14T01:11:00,Snowy,29.9,Health Check
MEX,2025-06-02T14:11:00,Sunny,34.8,Health Check
NRT,2024-11-03T00:56:00,Snowy,25.5,Health Check
YYZ,2025-10-26T14:37:00,Rainy,3.6,None
SIN,2025-04-19T14:13:00,Snowy,12.1,Visa Required
LAX,2024-03-23T04:49:00,Rainy,33.9,Health Check
LHR,2025-05-22T08:32:00,Rainy,1.5,None
SJO,2025-12-04T03:42:00,Snowy,0.5,None
NRT,2024-04-19T13:56:00,Cloudy,35.0,Health Check
JFK,2024-12-28T02:51:00,Snowy,5.7,Health Check
JFK,2025-02-06T13:06:00,Rainy,19.0,None
NRT,2024-02-24T15:05:00,Snowy,-7.1,Visa Required
SJO,2025-05-25T11:32:00,Snowy,-8.2,None
PTY,2024-11-29T13:11:00,Sunny,15.7,None
LAX,2025-06-29T17:28:00,Rainy,6.2,Visa Required
YVR,2024-08-11T11:14:00,Cloudy,4.4,None
YYZ,2024-05-20T15:56:00,Sunny,31.3,Visa Required
CUN,2024-09-28T13:20:00,Snowy,12.5,Health Check
HKG,2025-12-25T12:05:00,Cloudy,13.3,Health Check
AMS,2025-10-10T04:06:00,Sunny,25.1,Health Check
PTY,2024-01-20T17:01:00,Snowy,2.8,Health Check
YUL,2025-02-13T12:46:00,Rainy,2.6,Visa Required
MIA,2025-09-16T01:39:00,Cloudy,28.2,Visa Required
AMS,2025-06-23T06:13:00,Cloudy,-4.1,Health Check
YUL,2025-02-13T12:28:00,Cloudy,2.3,Visa Required
CDG,2024-10-09T06:19:00,Sunny,6.8,Health Check
CDG,2025-06-03T01:03:00,Sunny,24.3,Health Check
SJO,2024-03-25T11:13:00,Cloudy,22.7,None
DOH,2024-08-27T05:25:00,Rainy,-3.4,Health Check
FRA,2024-08-24T18:25:00,Sunny,30.8,Visa Required
MIA,2024-02-05T20:58:00,Snowy,21.3,Visa Required
ORD,2025-10-25T14:05:00,Cloudy,9.5,None
DOH,2024-11-05T13:55:00,Sunny,6.6,Visa Required
FRA,2024-04-29T18:51:00,Cloudy,31.4,Visa Required
YVR,2025-05-01T14:44:00,Sunny,-5.5,None
MIA,2024-01-31T02:38:00,Cloudy,33.5,None
YVR,2024-07-11T00:18:00,Rainy,26.1,Health Check
YYZ,2024-09-02T00:53:00,Snowy,23.2,Health Check
MEX,2025-01-26T20:03:00,Rainy,-4.1,None
YYZ,2024-06-19T17:22:00,Rainy,26.7,Visa Required
PTY,2024-01-23T21:58:00,Snowy,3.9,Health Check
SIN,2025-10-29T21:03:00,Sunny,30.8,Health Check
YYZ,2025-05-01T18:18:00,Snowy,4.6,Health Check
DOH,2024-07-05T20:27:00,Sunny,-8.8,Health Check
MEX,2025-04-04T07:01:00,Rainy,-5.9,Health Check
YYZ,2024-03-12T13:23:00,Rainy,30.6,Visa Required
DEL,2024-04-02T21:35:00,Cloudy,22.1,None
LHR,2024-07-27T08:16:00,Rainy,22.0,None
SIN,2024-12-22T09:14:00,Cloudy,27.5,Visa Required
ORD,2025-01-05T03:03:00,Cloudy,28.4,Visa Required
LAX,2025-06-05T15:24:00,Snowy,22.7,None
MIA,2025-06-08T13:10:00,Rainy,22.1,Health Check
HKG,2024-03-09T09:54:00,Snowy,17.3,Health Check
SJO,2025-05-05T02:45:00,Cloudy,34.6,Health Check
HKG,2024-09-05T22:08:00,Cloudy,1.7,None
JFK,2024-06-29T13:11:00,Sunny,27.4,None
LHR,2024-07-17T03:35:00,Sunny,31.3,None
DXB,2025-08-26T06:55:00,Snowy,0.6,Health Check
PTY,2024-07-02T17:42:00,Sunny,16.1,None
LAX,2025-11-10T08:51:00,Cloudy,20.6,Visa Required
FRA,2024-12-02T20:00:00,Rainy,4.5,None
JFK,2025-10-03T16:14:00,Cloudy,21.3,Visa Required
PTY,2024-08-31T11:21:00,Rainy,18.0,Health Check
HKG,2025-06-27T01:50:00,Rainy,26.7,None
YVR,2024-03-29T23:09:00,Cloudy,4.3,None
NRT,2024-07-31T09:39:00,Sunny,35.0,None
DOH,2024-04-06T09:28:00,Rainy,9.2,Visa Required
DOH,2024-05-28T20:55:00,Snowy,3.2,Health Check
DEL,2025-09-03T11:49:00,Rainy,2.3,Visa Required
NRT,2025-12-14T08:59:00,Cloudy,21.9,Visa Required
AMS,2025-04-05T03:37:00,Rainy,16.1,Visa Required
YVR,2024-01-30T20:30:00,Rainy,-6.9,Health Check
LHR,2025-02-19T15:28:00,Cloudy,10.8,Visa Required
YYZ,2025-02-01T05:29:00,Rainy,5.5,Health Check
HKG,2024-08-31T02:52:00,Snowy,30.1,Visa Required
AMS,2024-09-29T20:16:00,Snowy,-9.5,Visa Required
SIN,2024-02-24T22:53:00,Snowy,27.1,None
MIA,2024-08-03T05:06:00,Snowy,27.8,Visa Required
FRA,2025-12-12T09:50:00,Cloudy,2.9,Visa Required
YYZ,2024-07-20T01:37:00,Cloudy,6.2,Health Check
NRT,2025-09-01T00:34:00,Rainy,12.3,Health Check
SJO,2024-03-23T04:59:00,Rainy,26.6,Health Check
CDG,2025-02-23T18:01:00,Snowy,26.1,None
FRA,2024-06-28T08:04:00,Rainy,21.1,Health Check
NRT,2025-08-10T08:41:00,Snowy,13.9,Visa Required
DEL,2025-05-10T01:06:00,Snowy,10.2,None
LHR,2025-04-01T06:04:00,Sunny,13.1,None
DEL,2025-05-15T15:33:00,Rainy,4.5,None
YYZ,2025-11-12T06:40:00,Sunny,22.4,Visa Required
LHR,2025-05-13T06:10:00,Rainy,29.0,None
FRA,2025-08-02T16:09:00,Cloudy,28.8,Visa Required
ORD,2024-06-05T23:10:00,Rainy,17.2,Health Check
FRA,2025-06-26T01:22:00,Sunny,-3.9,None
DOH,2025-07-10T09:02:00,Rainy,4.2,None
PTY,2025-11-01T08:19:00,Snowy,16.0,Visa Required
LAX,2025-02-10T11:06:00,Rainy,17.5,None
LHR,2025-10-28T05:11:00,Cloudy,0.0,Visa Required
LHR,2025-02-05T13:21:00,Sunny,-4.2,Visa Required
LAX,2024-12-22T05:02:00,Rainy,28.4,Visa Required
DXB,2024-05-06T00:58:00,Cloudy,15.0,Visa Required
YYZ,2024-08-18T21:01:00,Sunny,23.6,Visa Required
MIA,2024-07-23T10:46:00,Rainy,-8.1,None
MIA,2025-04-15T17:06:00,Rainy,21.5,Health Check
YVR,2024-07-12T18:29:00,Rainy,-9.9,Health Check
LAX,2025-06-28T16:04:00,Sunny,29.0,Health Check
ORD,2024-09-21T16:11:00,Cloudy,-9.2,Visa Required
YUL,2024-09-25T13:23:00,Rainy,34.2,Visa Required
NRT,2025-12-29T19:20:00,Cloudy,32.4,Visa Required
YVR,2024-10-11T14:06:00,Sunny,-3.9,Health Check
AMS,2024-08-11T16:42:00,Snowy,27.3,None
DXB,2025-02-24T06:46:00,Cloudy,9.6,Health Check
YYZ,2025-03-04T12:59:00,Sunny,24.1,Health Check
DXB,2025-10-29T04:43:00,Sunny,31.4,Health Check
SIN,2024-10-20T01:58:00,Snowy,2.8,Health Check
LAX,2025-08-13T20:17:00,Sunny,31.8,Health Check
YVR,2024-12-28T21:15:00,Rainy,25.7,None
HKG,2025-07-19T06:28:00,Snowy,16.2,None
MIA,2024-02-14T16:21:00,Cloudy,-9.1,Visa Required
MIA,2025-05-08T09:57:00,Cloudy,30.8,None
YVR,2025-01-04T04:17:00,Cloudy,-3.4,Health Check
YUL,2025-05-09T04:30:00,Rainy,7.8,None
ORD,2024-01-30T01:59:00,Cloudy,-1.0,Health Check
MEX,2024-04-12T15:21:00,Snowy,24.5,None
HKG,2025-09-22T05:03:00,Snowy,30.0,Visa Required
DEL,2025-06-26T18:32:00,Cloudy,-0.1,Visa Required
LAX,2025-02-26T07:32:00,Cloudy,33.7,None
CDG,2025-05-18T02:34:00,Cloudy,-1.3,Health Check
NRT,2024-09-09T15:41:00,Rainy,0.0,Health Check
DOH,2024-06-14T15:33:00,Snowy,-9.5,Visa Required
AMS,2025-11-21T08:14:00,Cloudy,2.6,None
JFK,2025-08-12T05:12:00,Cloudy,15.1,None
FRA,2025-08-12T03:18:00,Snowy,-6.2,Visa Required
DXB,2024-05-27T09:16:00,Snowy,-7.1,None
LAX,2024-03-07T13:58:00,Snowy,0.4,Health Check
MIA,2024-05-31T20:00:00,Cloudy,21.8,None
YYZ,2024-10-29T08:09:00,Sunny,9.7,Visa Required
LAX,2025-01-25T07:22:00,Sunny,9.8,Health Check
DEL,2024-11-03T13:29:00,Sunny,26.6,None
FRA,2024-03-27T16:06:00,Rainy,14.9,Health Check
YVR,2024-06-25T11:29:00,Cloudy,5.6,None
DOH,2024-12-22T10:56:00,Snowy,17.5,None
YUL,2025-03-16T16:38:00,Sunny,7.9,None
DXB,2024-11-24T09:39:00,Rainy,-0.9,Visa Required
PTY,2024-07-21T15:01:00,Cloudy,28.4,Health Check
DEL,2024-01-07T19:31:00,Sunny,25.6,None
YUL,2024-11-05T11:36:00,Sunny,6.2,Visa Required
YUL,2024-12-31T08:41:00,Sunny,31.0,None
NRT,2025-11-12T17:49:00,Cloudy,-0.1,None
JFK,2024-06-29T06:35:00,Rainy,11.4,None
CUN,2024-09-12T04:13:00,Rainy,7.2,Health Check
CUN,2025-05-30T10:27:00,Sunny,19.6,None
NRT,2025-11-19T10:07:00,Snowy,-9.9,Visa Required
LAX,2024-11-27T18:20:00,Sunny,-9.9,Visa Required
NRT,2024-12-22T14:11:00,Rainy,34.0,None
AMS,2024-01-12T10:03:00,Sunny,1.1,Visa Required
ORD,2024-03-21T13:28:00,Cloudy,-4.5,Health Check
LHR,2025-01-23T12:18:00,Cloudy,4.4,Health Check
MIA,2025-06-17T12:39:00,Cloudy,19.6,None
MIA,2025-04-24T13:52:00,Cloudy,24.5,Visa Required
MIA,2025-03-24T04:16:00,Sunny,23.5,Visa Required
PTY,2025-11-22T18:01:00,Snowy,-0.9,Health Check
CUN,2024-11-14T01:10:00,Sunny,3.1,None
CDG,2024-09-10T11:29:00,Snowy,31.8,Visa Required
SIN,2025-12-18T01:32:00,Rainy,-0.7,Health Check
SIN,2025-11-02T23:22:00,Snowy,18.0,Health Check
CUN,2024-01-03T10:44:00,Rainy,24.5,Visa Required
ORD,2025-06-28T08:58:00,Cloudy,-7.0,Health Check
AMS,2025-02-10T10:48:00,Sunny,18.5,Visa Required
DEL,2025-11-09T16:07:00,Snowy,8.1,Visa Required
LHR,2025-04-16T11:26:00,Snowy,33.3,Health Check
HKG,2025-10-19T04:44:00,Snowy,25.2,Visa Required
DOH,2025-03-29T09:31:00,Snowy,-7.0,Visa Required
CUN,2025-07-31T19:56:00,Sunny,-7.0,Health Check
MEX,2024-08-15T16:02:00,Snowy,7.9,None
SIN,2024-12-17T15:35:00,Sunny,28.7,Visa Required
YUL,2025-07-29T02:40:00,Snowy,-9.7,None
MEX,2024-08-14T17:47:00,Sunny,16.2,Visa Required
MIA,2025-01-18T21:48:00,Snowy,13.0,Health Check
DXB,2025-12-09T15:22:00,Sunny,-9.2,Visa Required
SIN,2024-07-31T17:22:00,Cloudy,15.4,None
FRA,2025-04-01T22:25:00,Rainy,30.0,None
SJO,2024-01-17T05:53:00,Rainy,-9.8,Visa Required
ORD,2025-09-03T17:57:00,Sunny,29.9,None
FRA,2024-03-15T23:06:00,Sunny,10.0,Health Check
DOH,2025-02-13T02:05:00,Snowy,-3.0,Health Check
YVR,2025-08-14T14:19:00,Cloudy,7.8,Health Check
PTY,2024-01-22T06:16:00,Cloudy,27.3,Visa Required
MIA,2024-02-04T08:49:00,Rainy,-3.9,Health Check
YYZ,2025-04-16T16:11:00,Rainy,-6.6,None
DEL,2025-03-07T00:30:00,Cloudy,-4.8,Visa Required
NRT,2025-07-12T04:29:00,Cloudy,18.5,Visa Required
YVR,2024-03-20T16:02:00,Snowy,24.5,Visa Required
MIA,2024-02-02T18:01:00,Rainy,-5.3,Health Check
CUN,2024-02-14T00:31:00,Sunny,15.3,Health Check
MEX,2024-12-14T11:02:00,Rainy,-5.9,Visa Required
MEX,2025-03-15T01:04:00,Sunny,8.4,Visa Required
FRA,2025-01-26T23:55:00,Cloudy,11.8,None
DEL,2024-04-14T10:00:00,Cloudy,5.8,None
YUL,2025-11-15T13:43:00,Rainy,21.6,Health Check
SJO,2024-02-12T03:17:00,Rainy,4.1,None
JFK,2025-05-06T18:56:00,Snowy,-3.9,None
DXB,2025-02-18T03:06:00,Cloudy,8.0,None
SIN,2024-07-07T22:36:00,Sunny,13.5,None
DOH,2025-05-12T01:43:00,Snowy,8.0,Health Check
PTY,2024-03-21T13:02:00,Snowy,-7.6,Visa Required
CUN,2025-03-25T11:54:00,Snowy,30.9,None
YUL,2025-08-02T09:02:00,Snowy,24.5,None
LAX,2024-08-25T09:41:00,Rainy,-2.6,None
CDG,2025-09-10T14:02:00,Cloudy,12.8,Health Check
HKG,2024-05-16T10:53:00,Rainy,2.3,Health Check
CDG,2025-02-21T00:00:00,Sunny,3.4,Health Check
DEL,2025-03-28T04:32:00,Sunny,23.1,Visa Required
YVR,2024-04-15T08:19:00,Rainy,11.0,None
CUN,2024-02-15T22:26:00,Snowy,30.5,None
YYZ,2024-02-25T06:16:00,Snowy,34.2,Visa Required
JFK,2024-04-29T04:44:00,Snowy,10.0,Visa Required
LAX,2025-07-10T04:55:00,Rainy,24.1,Visa Required
YYZ,2025-10-27T17:21:00,Rainy,-5.8,None
HKG,2024-05-22T07:31:00,Snowy,-5.5,None
PTY,2025-12-27T22:43:00,Rainy,28.6,None
DEL,2025-05-16T12:08:00,Cloudy,-0.1,Health Check
DOH,2025-11-17T07:59:00,Cloudy,6.3,Visa Required
MIA,2024-04-09T06:20:00,Rainy,1.4,Health Check
NRT,2025-04-07T10:31:00,Snowy,7.5,Health Check
CUN,2024-06-18T08:03:00,Cloudy,17.6,Visa Required
CDG,2024-08-20T03:36:00,Rainy,4.6,Health Check
SJO,2024-10-13T01:43:00,Sunny,19.0,None
JFK,2024-03-10T10:22:00,Rainy,9.0,Visa Required
JFK,2024-10-27T19:45:00,Snowy,8.5,None
YYZ,2025-07-03T15:24:00,Cloudy,3.1,None
HKG,2025-09-21T03:29:00,Cloudy,6.7,None
SIN,2025-12-10T20:27:00,Snowy,33.7,Visa Required
LHR,2025-12-18T11:18:00,Rainy,19.7,None
YYZ,2025-09-23T02:40:00,Rainy,28.7,Health Check
LAX,2025-09-03T14:57:00,Snowy,21.0,None
LHR,2024-09-13T15:40:00,Snowy,-9.4,Visa Required
JFK,2025-10-05T12:05:00,Snowy,33.4,Visa Required
CDG,2024-06-17T17:21:00,Rainy,16.4,Health Check
NRT,2024-09-09T00:18:00,Cloudy,26.2,Visa Required
CUN,2025-05-29T04:58:00,Snowy,29.3,Visa Required
SJO,2025-09-12T06:34:00,Rainy,-7.0,Health Check
YVR,2025-10-13T22:19:00,Rainy,8.2,Health Check
PTY,2024-01-11T04:31:00,Cloudy,5.5,Visa Required
MIA,2024-11-01T19:19:00,Snowy,29.0,Visa Required
AMS,2024-02-09T23:42:00,Cloudy,3.8,Visa Required
CDG,2024-05-07T00:29:00,Snowy,5.1,Health Check
PTY,2024-04-26T08:16:00,Rainy,-1.7,None
MEX,2024-11-22T01:06:00,Cloudy,-2.8,Visa Required
AMS,2025-02-27T23:58:00,Snowy,17.9,None
SJO,2025-06-22T05:15:00,Snowy,0.4,Health Check
SJO,2024-07-27T18:46:00,Sunny,-5.1,None
DOH,2025-09-23T19:09:00,Cloudy,29.2,Visa Required
YUL,2024-02-28T06:04:00,Snowy,34.9,Visa Required
CDG,2025-04-17T23:55:00,Cloudy,23.7,Health Check
YUL,2024-03-23T10:53:00,Sunny,29.8,Visa Required
NRT,2024-11-04T07:00:00,Snowy,-9.8,Visa Required
DEL,2024-05-24T20:23:00,Sunny,6.4,Visa Required
LAX,2024-08-28T13:42:00,Cloudy,14.7,None
DEL,2024-01-07T09:45:00,Cloudy,-3.8,Visa Required
SIN,2024-08-19T00:59:00,Rainy,28.1,Health Check
CUN,2025-01-29T14:49:00,Cloudy,17.1,Health Check
YVR,2024-10-23T22:47:00,Cloudy,-4.5,Health Check
YYZ,2025-09-06T14:18:00,Sunny,27.4,Visa Required
LHR,2025-05-13T00:13:00,Cloudy,9.9,Health Check
CDG,2024-02-06T08:27:00,Sunny,18.3,Visa Required
DXB,2025-07-04T05:29:00,Sunny,-0.5,Visa Required
CUN,2024-02-12T02:57:00,Snowy,10.9,Visa Required
MIA,2025-08-14T10:22:00,Snowy,3.5,Visa Required
NRT,2024-05-09T08:03:00,Snowy,18.4,None
SIN,2024-04-20T16:17:00,Rainy,-1.7,Health Check
CDG,2025-07-28T04:19:00,Rainy,-9.3,None
DOH,2024-11-03T09:41:00,Cloudy,6.7,None
JFK,2025-06-01T07:14:00,Sunny,2.6,Health Check
SIN,2025-11-09T09:19:00,Rainy,10.5,Health Check
YVR,2024-12-10T21:52:00,Rainy,17.1,None
HKG,2025-09-17T04:35:00,Sunny,-5.1,Visa Required
MIA,2024-01-26T11:16:00,Snowy,-2.2,None
MIA,2024-05-24T20:51:00,Rainy,2.6,Health Check
SIN,2024-11-15T20:26:00,Cloudy,-0.3,Visa Required
DOH,2024-10-31T17:18:00,Sunny,7.6,Visa Required
MEX,2025-10-12T23:44:00,Rainy,9.5,None
MEX,2024-10-06T23:33:00,Snowy,10.5,Visa Required
SJO,2025-07-25T12:23:00,Cloudy,11.0,Visa Required
YVR,2025-08-16T09:17:00,Snowy,4.7,Health Check
NRT,2024-09-10T20:37:00,Sunny,13.2,None
MEX,2025-08-31T11:53:00,Sunny,-9.7,Health Check
NRT,2024-05-23T10:09:00,Snowy,1.9,Health Check
LHR,2024-06-07T12:12:00,Rainy,-3.0,Visa Required
LAX,2025-03-29T07:11:00,Sunny,-0.8,None
NRT,2024-08-17T04:38:00,Snowy,29.3,Health Check
JFK,2025-12-21T11:04:00,Snowy,9.7,Health Check
YUL,2024-11-17T04:00:00,Cloudy,32.8,Health Check
PTY,2024-12-30T23:23:00,Snowy,2.0,Visa Required
LHR,2025-04-05T06:20:00,Cloudy,-4.7,Health Check
PTY,2024-07-17T17:02:00,Cloudy,26.1,None
YUL,2025-01-06T17:36:00,Rainy,-9.7,Visa Required
FRA,2024-10-24T10:38:00,Cloudy,23.7,Visa Required
CUN,2025-05-26T04:16:00,Cloudy,20.0,Health Check
SIN,2024-07-23T05:06:00,Sunny,20.7,Health Check
LAX,2025-11-05T23:56:00,Sunny,25.2,Health Check
YVR,2025-06-23T17:16:00,Rainy,14.8,Health Check
NRT,2025-05-06T06:20:00,Rainy,-9.1,None
LAX,2025-10-20T02:12:00,Snowy,31.4,None
NRT,2024-03-10T23:40:00,Sunny,24.4,None
NRT,2024-06-09T14:21:00,Snowy,8.9,Health Check
HKG,2024-08-26T18:28:00,Sunny,11.1,Visa Required
LHR,2025-04-15T18:44:00,Snowy,31.4,Visa Required
CUN,2025-08-22T03:23:00,Rainy,-7.8,None
CUN,2024-04-25T21:48:00,Rainy,28.1,Health Check
