flightNumber,date,fare,fareClass,seatsAvailable,priceCategory
OZ6277,2024-01-23T05:38:00,388.5,Premium Economy,187,Low Fare
ZW1197,2025-09-02T03:33:00,319.61,Business,74,Low Fare
CP9370,2025-06-10T07:35:00,352.97,Business,28,Other
FI4420,2025-04-28T20:12:00,149.72,Business,86,Low Fare
UA2960,2024-08-14T04:56:00,541.63,Premium Economy,63,Other
DH7678,2025-03-14T11:56:00,356.78,Economy,90,Low Fare
MX7533,2024-03-23T00:39:00,595.63,Premium Economy,199,Other
OH4090,2024-07-08T23:20:00,1259.78,Economy,80,Other
WS924,2025-09-22T19:48:00,311.9,Business,72,Low Fare
N75392,2025-09-14T08:24:00,256.51,Economy,126,Low Fare
Y41438,2025-11-16T21:34:00,597.07,Premium Economy,108,Other
SE4010,2024-07-01T13:09:00,337.41,Premium Economy,161,Low Fare
PR3727,2024-05-09T11:52:00,1373.82,Premium Economy,70,Other
QR2377,2025-03-29T02:22:00,214.29,Economy,113,Low Fare
BF3704,2024-06-24T07:46:00,371.91,Premium Economy,162,Low Fare
AY3401,2025-11-08T08:17:00,1147.67,Premium Economy,172,Other
Z02565,2025-02-17T13:03:00,496.15,Business,66,Other
WS5839,2024-11-29T17:54:00,115.59,Business,88,Low Fare
WS9569,2025-03-04T17:17:00,158.4,Economy,120,Low Fare
RD8879,2024-08-21T15:46:00,563.58,Economy,138,Other
HQ3396,2025-07-12T23:55:00,307.71,Business,142,Low Fare
XJ2138,2025-03-19T12:08:00,1497.81,Premium Economy,122,Other
YX4856,2025-06-06T19:27:00,117.11,Premium Economy,133,Low Fare
LY8413,2025-09-07T21:27:00,1013.92,Business,54,Other
BR2864,2025-11-02T03:22:00,562.14,Premium Economy,113,Other
YP7922,2024-09-11T16:47:00,985.16,Economy,60,Other
EV9814,2025-03-01T12:17:00,1354.16,Premium Economy,15,Other
DL8550,2024-01-03T00:38:00,838.99,Economy,98,Other
KL4309,2024-03-10T03:06:00,805.19,Premium Economy,58,Other
S62965,2025-05-08T22:33:00,334.84,Economy,190,Low Fare
MG7833,2024-04-30T08:23:00,542.86,Business,80,Other
9W2818,2024-06-29T20:41:00,254.7,Premium Economy,128,Low Fare
QF180,2024-06-19T03:04:00,856.24,Premium Economy,170,Other
UA4399,2025-10-24T20:42:00,282.43,Economy,52,Low Fare
TA4466,2025-11-06T18:56:00,685.58,Premium Economy,182,Other
MQ5101,2025-07-09T05:29:00,360.67,Economy,149,Other
XP9606,2024-10-05T10:56:00,384.84,Economy,74,Other
CZ4766,2024-05-14T14:30:00,156.43,Economy,31,Low Fare
NZ7505,2024-03-20T04:06:00,892.36,Business,188,Other
JL5215,2025-02-08T11:57:00,322.99,Business,136,Low Fare
AI2751,2024-02-21T02:01:00,496.45,Business,17,Other
TK5831,2024-10-01T12:34:00,302.53,Premium Economy,50,Low Fare
XJ8682,2025-06-02T20:09:00,1410.25,Premium Economy,126,Other
JX3208,2024-02-02T20:30:00,375.93,Business,196,Low Fare
SY6415,2024-09-09T00:43:00,141.3,Premium Economy,120,Low Fare
WW9146,2024-01-19T06:31:00,1340.52,Economy,89,Other
Y42028,2025-07-02T18:57:00,1064.03,Premium Economy,48,Other
AF8892,2024-05-03T10:06:00,645.2,Economy,179,Other
EY7883,2024-12-24T12:42:00,1446.27,Premium Economy,39,Other
MX8449,2025-11-13T04:48:00,177.16,Economy,170,Low Fare
MX8585,2025-01-03T19:05:00,106.14,Premium Economy,185,Low Fare
PE2879,2025-07-12T15:53:00,426.46,Economy,114,Other
SK3198,2024-12-15T16:56:00,321.88,Business,114,Low Fare
OY7198,2024-05-16T01:10:00,233.56,Economy,152,Low Fare
XP5363,2024-04-07T06:56:00,203.31,Economy,65,Low Fare
SK3821,2024-08-14T17:24:00,351.98,Business,71,Low Fare
AY1368,2024-09-06T08:59:00,360.85,Economy,192,Low Fare
YX5059,2025-04-26T03:50:00,1222.23,Business,20,Other
YV1767,2025-04-17T11:53:00,246.9,Business,200,Low Fare
AM8916,2025-04-08T01:40:00,236.66,Business,89,Low Fare
FF705,2025-04-15T11:57:00,613.55,Business,196,Other
QF547,2025-02-12T22:22:00,207.06,Business,106,Low Fare
XP2077,2024-11-01T06:17:00,394.55,Premium Economy,78,Low Fare
AY1515,2025-11-21T08:43:00,1100.53,Business,119,Other
OH9945,2024-06-22T03:50:00,190.64,Premium Economy,70,Low Fare
VS1074,2025-08-17T13:43:00,645.4,Business,160,Other
FI5867,2025-02-14T22:14:00,242.36,Business,101,Low Fare
TZ9530,2024-09-21T09:37:00,392.84,Premium Economy,71,Other
G46956,2025-02-01T15:11:00,462.19,Business,127,Other
LP2328,2025-03-05T04:55:00,427.32,Premium Economy,46,Other
GL8268,2024-06-16T03:31:00,303.72,Business,165,Low Fare
QR9370,2025-10-19T12:25:00,1294.96,Premium Economy,89,Other
NW3848,2024-08-09T00:44:00,340.53,Premium Economy,60,Low Fare
AC2023,2024-04-21T08:37:00,229.84,Business,114,Low Fare
OH8109,2025-06-14T21:23:00,117.01,Economy,166,Low Fare
AF9854,2024-04-06T12:48:00,872.4,Premium Economy,155,Other
XJ5884,2025-03-19T01:38:00,267.36,Economy,109,Low Fare
UA4936,2024-08-27T05:46:00,179.78,Economy,195,Low Fare
DE4519,2025-11-13T10:20:00,272.63,Economy,84,Low Fare
KE6034,2024-10-19T10:42:00,125.15,Economy,65,Low Fare
LX3997,2024-03-08T09:03:00,909.34,Economy,109,Other
SK2125,2024-07-24T18:22:00,1018.88,Business,163,Other
CC7763,2025-12-11T21:14:00,1271.73,Premium Economy,77,Other
MQ5276,2024-12-27T17:03:00,1291.02,Economy,154,Other
MG6179,2025-07-19T08:13:00,334.66,Economy,59,Low Fare
XE4255,2025-07-30T01:38:00,165.39,Economy,122,Low Fare
SK9277,2025-03-07T12:40:00,149.28,Premium Economy,195,Low Fare
QR367,2025-03-17T20:04:00,189.22,Economy,74,Low Fare
NZ5484,2025-12-08T06:57:00,270.66,Economy,104,Low Fare
WI6476,2024-05-17T03:59:00,380.53,Economy,54,Other
Y41553,2024-10-20T19:37:00,391.49,Economy,62,Other
WW8806,2024-01-06T08:11:00,306.25,Economy,89,Low Fare
9W1793,2024-09-17T17:42:00,1031.2,Economy,19,Other
LY9675,2024-05-13T23:58:00,702.14,Premium Economy,11,Other
AZ6238,2025-02-25T21:11:00,645.89,Economy,93,Other
MQ4651,2025-07-04T15:34:00,361.87,Business,188,Other
PD6015,2025-03-07T04:40:00,768.93,Business,73,Other
OH4182,2025-02-28T20:27:00,201.02,Economy,199,Low Fare
OY4681,2024-04-15T15:40:00,249.57,Business,51,Low Fare
YV4471,2025-05-14T00:50:00,1203.24,Premium Economy,20,Other
PD1353,2025-02-04T20:13:00,276.19,Business,171,Low Fare
B66121,2025-01-20T07:32:00,125.46,Premium Economy,119,Low Fare
SR3122,2025-12-24T20:04:00,376.09,Premium Economy,193,Low Fare
TK7905,2024-04-08T01:38:00,950.31,Premium Economy,64,Other
FI4959,2025-02-12T20:39:00,129.82,Premium Economy,57,Low Fare
MT1370,2024-09-28T08:46:00,441.35,Economy,143,Other
MQ4523,2024-06-20T05:18:00,289.99,Economy,185,Low Fare
WN5664,2024-03-25T01:05:00,1135.01,Economy,16,Other
UA3028,2024-10-01T20:39:00,1296.56,Business,91,Other
OO2090,2025-05-24T03:01:00,1468.41,Business,168,Other
FI2401,2024-05-25T00:56:00,288.51,Premium Economy,147,Low Fare
CM4371,2025-02-16T10:56:00,413.83,Premium Economy,36,Other
QF8650,2025-08-15T16:43:00,902.66,Premium Economy,81,Other
NH6516,2025-09-16T21:19:00,238.31,Premium Economy,91,Low Fare
WN1023,2024-12-13T22:00:00,193.12,Business,85,Low Fare
NW7264,2024-03-22T17:03:00,464.83,Premium Economy,131,Other
FJ7144,2025-09-09T00:13:00,367.71,Business,107,Low Fare
BF3673,2024-07-23T21:12:00,177.47,Premium Economy,12,Low Fare
XP3097,2025-07-31T04:27:00,1370.15,Economy,77,Other
AZ566,2025-08-27T04:43:00,745.0,Business,148,Other
TZ8665,2024-02-29T16:46:00,338.61,Business,13,Low Fare
F96330,2024-11-24T16:51:00,102.91,Premium Economy,58,Low Fare
JL1912,2024-04-16T06:33:00,363.36,Economy,45,Low Fare
F97880,2024-08-23T07:37:00,715.93,Economy,112,Other
NH874,2024-06-12T02:43:00,768.31,Premium Economy,187,Other
SR4473,2024-05-11T02:04:00,1405.45,Premium Economy,13,Other
EK4060,2025-07-05T10:48:00,155.29,Premium Economy,144,Low Fare
BF6283,2024-03-17T13:57:00,521.25,Economy,61,Other
SR630,2025-05-22T12:58:00,246.43,Economy,45,Low Fare
SS3328,2024-10-05T14:43:00,840.97,Business,132,Other
CZ2485,2024-04-03T20:07:00,800.81,Premium Economy,169,Other
CP5186,2025-08-13T05:21:00,554.84,Economy,94,Other
XE4995,2024-06-29T09:54:00,1268.69,Premium Economy,94,Other
MX4756,2024-08-02T11:42:00,716.68,Premium Economy,100,Other
MG6654,2024-01-08T05:57:00,1258.86,Economy,173,Other
OH2806,2024-11-04T11:15:00,657.73,Economy,190,Other
MG5643,2025-12-07T21:22:00,600.13,Economy,67,Other
DE8211,2024-07-15T02:28:00,1155.75,Premium Economy,90,Other
CX4275,2025-01-19T04:24:00,474.02,Premium Economy,107,Other
CP5117,2024-08-17T10:58:00,784.22,Premium Economy,119,Other
CZ1872,2025-10-21T12:09:00,162.12,Premium Economy,179,Low Fare
CA8339,2024-07-07T08:50:00,1207.73,Business,21,Other
UA9608,2025-02-01T14:00:00,911.15,Business,137,Other
HA1541,2025-03-30T15:53:00,1039.75,Business,185,Other
SE9341,2025-05-04T15:16:00,706.56,Premium Economy,121,Other
VS8465,2025-07-20T07:02:00,929.35,Business,151,Other
9W3150,2024-07-31T19:37:00,392.82,Economy,42,Low Fare
AZ6658,2024-08-27T21:30:00,807.03,Premium Economy,53,Other
FI8802,2024-02-26T03:12:00,284.4,Economy,58,Low Fare
QX8625,2024-04-30T08:47:00,735.95,Economy,190,Other
AC1622,2025-12-22T05:09:00,329.94,Business,30,Low Fare
BR1573,2025-09-15T09:24:00,1382.89,Business,50,Other
MX231,2025-01-29T16:24:00,117.54,Premium Economy,106,Low Fare
CI5980,2025-09-02T11:50:00,296.43,Economy,21,Low Fare
JL7495,2025-11-25T14:27:00,225.7,Economy,180,Low Fare
EZ5471,2025-01-24T13:34:00,955.18,Premium Economy,178,Other
HX9148,2024-08-18T00:57:00,487.03,Business,118,Other
SE8831,2025-07-09T05:25:00,1244.69,Premium Economy,188,Other
QQ4200,2025-03-07T03:18:00,945.33,Premium Economy,76,Other
4O6212,2025-08-07T20:20:00,1339.57,Economy,87,Other
MT6065,2024-11-28T00:55:00,163.85,Economy,192,Low Fare
XP7541,2025-06-25T20:53:00,550.52,Business,48,Other
QK9317,2024-08-25T00:52:00,1340.85,Premium Economy,178,Other
FJ3631,2024-06-28T02:13:00,984.94,Premium Economy,25,Other
XP385,2025-09-26T11:16:00,1259.66,Business,181,Other
VX8193,2025-01-09T23:21:00,252.83,Business,54,Low Fare
UA8451,2025-02-28T02:43:00,331.1,Economy,49,Low Fare
HA2417,2024-04-20T16:37:00,1257.34,Premium Economy,165,Other
Y44848,2025-12-18T23:09:00,397.99,Business,12,Low Fare
B69997,2024-11-11T10:41:00,1140.91,Premium Economy,144,Other
UA2638,2025-05-07T19:14:00,374.63,Economy,177,Low Fare
ZW8742,2025-07-12T16:36:00,815.66,Premium Economy,43,Other
A82836,2025-07-18T05:38:00,112.35,Business,83,Low Fare
CC340,2024-01-04T17:57:00,1121.9,Business,76,Other
DH8652,2024-05-07T13:18:00,498.08,Economy,42,Other
TP6883,2024-07-25T17:24:00,241.71,Economy,93,Low Fare
NW4982,2024-11-21T00:16:00,102.65,Premium Economy,136,Low Fare
DE9877,2024-01-13T03:50:00,339.14,Business,67,Low Fare
HA6904,2024-01-06T07:22:00,281.18,Economy,79,Low Fare
CA9231,2025-03-23T23:08:00,195.35,Business,17,Low Fare
MU4359,2024-10-27T16:52:00,276.41,Premium Economy,191,Low Fare
NH3587,2025-09-18T12:39:00,861.72,Premium Economy,186,Other
DE4681,2024-10-22T17:54:00,397.09,Economy,69,Low Fare
FJ1299,2024-10-22T03:28:00,687.78,Premium Economy,197,Other
CX1122,2025-06-07T13:02:00,321.74,Economy,118,Low Fare
SY3398,2024-10-02T02:45:00,1329.04,Business,125,Other
SE2578,2025-06-27T10:35:00,258.54,Economy,93,Low Fare
AX8036,2025-09-23T04:19:00,1087.56,Business,132,Other
CP6742,2025-10-04T04:25:00,279.85,Business,132,Low Fare
LH5927,2024-07-19T22:04:00,212.93,Business,125,Low Fare
CP5933,2025-09-14T12:37:00,394.52,Business,124,Low Fare
CZ8480,2024-11-14T11:18:00,819.97,Economy,59,Other
DP8962,2025-10-03T17:55:00,359.93,Economy,132,Low Fare
4O6592,2024-08-29T12:58:00,300.93,Business,35,Low Fare
OY4896,2025-06-17T01:24:00,917.37,Premium Economy,90,Other
AY2851,2025-01-02T02:35:00,852.58,Business,85,Other
LY6543,2025-03-27T21:40:00,429.2,Premium Economy,75,Other
NZ8704,2025-07-12T03:41:00,1223.62,Economy,135,Other
NW3319,2024-12-03T00:05:00,274.36,Economy,154,Low Fare
IB3947,2024-09-18T06:38:00,203.23,Business,186,Low Fare
UA6433,2024-03-27T10:02:00,622.12,Business,75,Other
GL1266,2025-12-30T12:37:00,334.31,Economy,159,Low Fare
EI7231,2025-02-15T12:23:00,454.7,Economy,21,Other
EV5278,2024-02-04T23:31:00,115.25,Premium Economy,71,Low Fare
CC2429,2025-02-26T10:28:00,352.83,Economy,84,Other
5Y660,2025-02-22T18:59:00,1207.81,Premium Economy,68,Other
MX7906,2024-11-15T08:16:00,209.02,Economy,103,Low Fare
LY931,2025-07-03T02:39:00,310.92,Business,61,Low Fare
EZ5048,2025-12-26T20:34:00,225.26,Business,53,Low Fare
NW2714,2024-01-05T02:56:00,281.35,Business,58,Low Fare
QK9548,2024-04-17T20:08:00,375.27,Economy,167,Low Fare
LH6287,2025-05-05T21:23:00,263.18,Economy,83,Low Fare
XP6612,2024-12-04T15:08:00,325.36,Business,141,Low Fare
IB8192,2024-07-27T04:45:00,1008.27,Business,133,Other
FI7080,2024-09-16T19:34:00,378.92,Business,187,Low Fare
VX5667,2024-08-22T15:55:00,203.18,Business,34,Low Fare
9W2584,2024-06-03T08:20:00,600.19,Economy,91,Other
BR6649,2024-03-22T15:13:00,1089.77,Business,90,Other
TK9577,2024-10-31T08:02:00,365.71,Business,42,Other
DP2679,2025-11-30T18:56:00,504.52,Economy,126,Other
AI2481,2024-12-02T07:28:00,242.9,Economy,65,Low Fare
QX9239,2025-12-02T20:20:00,214.6,Premium Economy,88,Low Fare
FJ9676,2025-09-02T22:50:00,539.78,Business,175,Other
AA8827,2024-11-15T20:17:00,993.29,Premium Economy,177,Other
NW7238,2024-02-14T12:34:00,1152.32,Premium Economy,57,Other
S63529,2025-08-22T19:06:00,318.5,Economy,147,Other
AB1735,2024-06-01T14:48:00,359.39,Economy,54,Other
FF198,2024-08-09T05:00:00,168.59,Premium Economy,133,Low Fare
MQ1285,2024-07-25T12:29:00,686.7,Business,97,Other
KE5103,2024-07-03T07:26:00,416.85,Economy,162,Other
JX7582,2025-12-02T23:47:00,1463.16,Economy,193,Other
WS8549,2024-01-13T22:01:00,334.64,Premium Economy,102,Low Fare
PR9341,2024-06-26T01:11:00,246.56,Economy,111,Low Fare
BA4704,2024-05-07T17:20:00,364.45,Economy,17,Other
BBB7679,2024-08-14T00:00:00,357.24,Business,138,Low Fare
GL5958,2024-08-14T21:47:00,123.61,Business,16,Low Fare
A83052,2024-11-05T18:31:00,304.9,Business,67,Low Fare
RD3648,2025-12-26T21:54:00,370.39,Premium Economy,112,Low Fare
BA4739,2024-06-03T11:03:00,327.38,Economy,188,Low Fare
FJ4589,2025-02-25T01:05:00,349.4,Business,139,Low Fare
JX5328,2024-04-18T06:37:00,1154.92,Premium Economy,34,Other
MG280,2024-03-20T21:19:00,460.83,Economy,61,Other
KL323,2024-04-03T00:58:00,1488.2,Economy,95,Other
F85994,2025-07-27T09:53:00,1386.38,Business,185,Other
TA8351,2025-05-17T04:01:00,304.2,Business,116,Low Fare
AF9221,2025-04-27T14:48:00,657.31,Economy,118,Other
EK4189,2025-10-14T08:10:00,393.13,Economy,108,Low Fare
EZ8280,2025-09-30T10:31:00,377.22,Economy,156,Low Fare
YP6595,2025-04-17T02:44:00,193.81,Business,171,Low Fare
UA8122,2025-06-19T01:37:00,318.51,Economy,197,Low Fare
OY2472,2024-12-03T13:46:00,182.92,Business,77,Low Fare
WI8113,2025-07-28T16:46:00,778.31,Economy,142,Other
ZW7134,2024-10-21T15:57:00,987.32,Economy,199,Other
FF8003,2025-02-11T16:42:00,316.78,Economy,153,Low Fare
PE2180,2024-03-21T19:12:00,244.54,Economy,56,Low Fare
CA1415,2024-10-18T05:33:00,279.45,Business,80,Low Fare
FJ7206,2024-03-25T13:40:00,154.35,Business,27,Low Fare
AZ5891,2024-06-01T22:31:00,155.19,Economy,27,Low Fare
NJ1160,2025-11-10T17:33:00,383.2,Premium Economy,181,Low Fare
B64594,2025-06-22T16:37:00,997.15,Premium Economy,154,Other
5Y3522,2024-01-29T20:46:00,618.96,Premium Economy,168,Other
XP8959,2025-04-11T20:55:00,577.45,Premium Economy,191,Other
G45194,2024-11-29T07:46:00,1014.71,Business,129,Other
RW6819,2024-01-07T15:58:00,1082.6,Economy,180,Other
NJ7161,2025-08-07T22:55:00,280.04,Business,132,Low Fare
JX9036,2024-01-02T06:26:00,129.97,Business,45,Low Fare
VN5847,2025-11-22T20:57:00,1480.89,Premium Economy,98,Other
SY8681,2025-09-07T07:51:00,116.39,Business,35,Low Fare
SQ3205,2025-06-01T19:13:00,143.87,Economy,187,Low Fare
VS3703,2024-06-01T18:40:00,227.83,Business,93,Low Fare
VS1042,2025-01-07T09:26:00,342.38,Economy,97,Low Fare
HA2909,2025-07-11T19:04:00,393.33,Premium Economy,110,Low Fare
EY2491,2025-03-30T00:15:00,274.11,Premium Economy,86,Low Fare
NJ656,2025-08-14T12:57:00,101.13,Economy,141,Low Fare
CZ1026,2025-12-21T14:56:00,1257.01,Premium Economy,92,Other
RD6425,2024-10-01T13:47:00,902.61,Premium Economy,194,Other
TP3525,2024-01-22T01:29:00,145.38,Business,47,Low Fare
MU624,2024-08-26T23:27:00,918.01,Economy,68,Other
AZ2395,2024-06-13T13:32:00,202.99,Economy,196,Low Fare
QQ2119,2025-09-28T10:27:00,162.68,Premium Economy,176,Low Fare
WW224,2024-12-01T03:23:00,834.5,Business,159,Other
KL3125,2024-12-08T10:16:00,513.81,Business,106,Other
YV1207,2024-05-24T20:53:00,350.13,Economy,14,Low Fare
SQ5850,2024-05-26T18:21:00,290.78,Premium Economy,142,Low Fare
EV835,2024-05-03T15:53:00,399.54,Economy,92,Low Fare
GL8235,2025-02-19T22:35:00,178.14,Premium Economy,181,Low Fare
VS9007,2025-07-26T06:34:00,128.84,Premium Economy,21,Low Fare
FF9426,2024-10-03T20:04:00,349.64,Economy,31,Low Fare
KE760,2024-07-14T02:29:00,335.91,Business,41,Low Fare
OH8532,2024-06-02T04:13:00,889.73,Premium Economy,160,Other
QR5078,2025-04-01T19:28:00,684.77,Premium Economy,191,Other
CP4783,2024-09-07T12:14:00,340.21,Premium Economy,43,Low Fare
WO8044,2025-02-21T02:29:00,384.82,Premium Economy,78,Low Fare
TS5556,2024-01-31T03:30:00,177.77,Business,95,Low Fare
MQ4390,2025-08-31T05:13:00,993.65,Business,146,Other
FJ654,2024-09-11T00:46:00,194.02,Business,106,Low Fare
CA9061,2024-02-09T02:11:00,260.69,Premium Economy,149,Low Fare
LY5628,2024-12-01T12:51:00,724.44,Economy,160,Other
S69735,2025-01-19T13:48:00,657.55,Economy,138,Other
TS4347,2025-03-13T23:03:00,1273.94,Business,158,Other
DH7288,2025-11-30T02:24:00,1284.17,Premium Economy,10,Other
WS7487,2024-10-09T20:58:00,939.93,Business,151,Other
NW8291,2025-08-15T08:24:00,121.33,Economy,58,Low Fare
SE6872,2025-05-06T09:41:00,598.79,Premium Economy,159,Other
EI1451,2025-02-15T03:46:00,274.09,Business,185,Low Fare
CA5901,2025-08-13T11:44:00,154.72,Business,179,Low Fare
AX7979,2024-01-10T16:27:00,250.53,Premium Economy,105,Low Fare
ZW372,2025-12-07T05:16:00,186.99,Premium Economy,199,Low Fare
QK2731,2025-09-10T04:07:00,577.01,Economy,126,Other
QX1223,2025-05-10T12:35:00,1040.68,Business,183,Other
DH7628,2025-04-28T20:38:00,1028.71,Business,58,Other
XJ4382,2024-10-26T14:42:00,381.47,Premium Economy,166,Low Fare
TW6628,2024-03-26T03:26:00,180.8,Premium Economy,195,Low Fare
NJ7624,2024-07-20T10:29:00,1297.79,Economy,69,Other
9W9360,2024-05-11T06:50:00,1276.13,Premium Economy,150,Other
OZ1637,2024-10-09T10:51:00,172.16,Economy,22,Low Fare
DL9494,2025-01-26T11:08:00,271.65,Economy,11,Low Fare
TK2433,2024-05-27T17:15:00,1369.29,Business,71,Other
WN9530,2025-03-31T21:38:00,144.75,Business,117,Low Fare
LH4682,2024-05-26T22:42:00,1294.96,Premium Economy,43,Other
CP5262,2025-10-22T20:48:00,460.35,Premium Economy,13,Other
OY8917,2024-07-18T02:10:00,989.61,Business,31,Other
AB235,2025-09-23T02:14:00,1110.49,Business,68,Other
AI8516,2025-05-10T07:39:00,943.23,Economy,67,Other
FI5848,2025-04-16T19:40:00,1361.05,Economy,177,Other
TA2380,2025-10-14T03:09:00,519.81,Economy,68,Other
MQ9127,2025-09-13T19:17:00,1320.2,Premium Economy,183,Other
NH282,2024-02-21T11:29:00,306.56,Premium Economy,57,Low Fare
FI1508,2024-09-20T05:21:00,219.81,Economy,13,Low Fare
CM2439,2025-01-29T11:13:00,922.68,Business,34,Other
SE8339,2025-02-04T17:40:00,134.52,Premium Economy,157,Low Fare
MQ6085,2024-05-26T13:18:00,187.48,Economy,53,Low Fare
LY1754,2025-07-06T16:48:00,1210.25,Economy,146,Other
F94848,2024-10-21T08:03:00,860.61,Premium Economy,13,Other
IB1904,2025-11-17T23:53:00,109.47,Business,115,Low Fare
YP2475,2025-07-31T02:48:00,354.32,Business,178,Low Fare
TP5974,2024-04-07T03:19:00,1056.05,Business,14,Other
WI2662,2024-04-18T19:16:00,333.07,Premium Economy,87,Low Fare
ZG1966,2024-03-02T10:17:00,468.54,Economy,13,Other
SR3188,2025-05-20T21:52:00,362.97,Business,107,Low Fare
AY6563,2024-04-24T05:55:00,1226.9,Business,56,Other
UA8947,2024-05-05T12:16:00,143.29,Economy,177,Low Fare
HX4218,2025-01-30T14:02:00,117.25,Premium Economy,97,Low Fare
UA2471,2025-08-02T15:30:00,1401.58,Premium Economy,186,Other
OH5841,2024-03-27T20:05:00,1064.48,Economy,48,Other
TS2604,2024-01-28T01:44:00,289.27,Business,150,Low Fare
FI1377,2025-05-07T00:55:00,135.08,Economy,84,Low Fare
TK4546,2025-12-28T07:26:00,190.58,Business,159,Low Fare
CI6698,2024-09-04T22:18:00,1463.3,Economy,175,Other
F81749,2025-01-31T11:05:00,119.96,Premium Economy,77,Low Fare
Z09592,2025-10-07T22:44:00,369.78,Premium Economy,31,Low Fare
YP6949,2025-06-22T14:20:00,1339.83,Economy,188,Other
TA8357,2025-06-24T14:04:00,1436.31,Economy,100,Other
5Y6328,2025-08-02T19:03:00,178.3,Business,17,Low Fare
XP9984,2025-02-09T02:06:00,393.7,Business,79,Other
SY1508,2025-05-15T08:36:00,216.73,Business,151,Low Fare
SS6980,2024-11-18T15:14:00,167.4,Business,56,Low Fare
LP7437,2025-12-16T07:14:00,1471.96,Economy,64,Other
WO7267,2024-12-12T03:20:00,280.59,Business,193,Low Fare
XP3274,2025-04-20T22:45:00,1078.61,Premium Economy,144,Other
AZ5613,2024-10-12T10:50:00,388.21,Economy,177,Low Fare
SK4050,2024-03-31T16:24:00,786.51,Economy,104,Other
SS9163,2025-09-25T23:51:00,502.63,Economy,100,Other
MX6680,2025-05-09T20:48:00,199.09,Economy,19,Low Fare
TS2100,2025-09-22T21:58:00,1449.36,Premium Economy,149,Other
MU7296,2025-12-26T14:40:00,621.18,Business,195,Other
CP7783,2025-06-28T16:11:00,1086.37,Economy,126,Other
SQ416,2025-09-21T22:09:00,122.9,Business,12,Low Fare
XJ3345,2024-03-10T23:21:00,1071.09,Premium Economy,19,Other
ZW428,2024-09-29T22:44:00,1267.42,Economy,26,Other
XE2975,2024-02-19T23:54:00,1346.61,Business,25,Other
TP6564,2025-11-25T18:37:00,224.39,Business,57,Low Fare
AI5627,2025-03-30T08:59:00,389.4,Premium Economy,65,Other
TP3521,2025-04-29T05:30:00,176.57,Business,151,Low Fare
UA5420,2025-09-07T14:08:00,732.9,Business,90,Other
ZG3241,2025-09-12T11:05:00,1315.33,Premium Economy,121,Other
XE1206,2025-06-21T13:23:00,478.46,Premium Economy,160,Other
LX7426,2025-05-11T01:52:00,1039.0,Economy,43,Other
SS7338,2025-05-01T07:56:00,285.28,Business,163,Low Fare
KE6512,2025-03-06T23:52:00,246.19,Economy,175,Low Fare
KE7842,2024-08-17T22:30:00,1272.81,Economy,36,Other
WS1081,2024-09-17T14:37:00,602.65,Premium Economy,40,Other
AC9330,2025-04-11T22:28:00,771.89,Premium Economy,78,Other
MU4520,2024-11-29T02:28:00,175.82,Premium Economy,111,Low Fare
S62861,2025-01-02T14:15:00,193.42,Premium Economy,107,Low Fare
CP8119,2025-09-27T23:36:00,381.33,Business,195,Low Fare
KE5924,2024-02-04T15:21:00,129.6,Business,118,Low Fare
AB7131,2025-08-22T10:09:00,394.75,Premium Economy,176,Other
HQ8661,2025-07-22T07:33:00,178.92,Economy,117,Low Fare
HX6323,2024-05-20T17:07:00,108.63,Premium Economy,151,Low Fare
A84125,2024-06-20T21:52:00,341.52,Economy,164,Low Fare
US8233,2025-11-14T14:30:00,1250.4,Premium Economy,49,Other
HA4708,2025-03-01T18:53:00,398.66,Economy,165,Low Fare
NW1943,2025-12-01T04:04:00,384.0,Business,17,Low Fare
LP4228,2025-09-29T05:21:00,419.72,Premium Economy,136,Other
HQ7936,2024-08-19T14:53:00,1243.17,Premium Economy,64,Other
DP7942,2025-07-20T12:02:00,849.01,Business,35,Other
VX292,2024-03-22T14:53:00,370.09,Premium Economy,86,Low Fare
WS4556,2024-04-22T17:47:00,127.04,Premium Economy,149,Low Fare
LH9739,2025-09-15T04:41:00,364.63,Premium Economy,175,Low Fare
JX9203,2024-07-11T09:23:00,540.51,Business,192,Other
YV8066,2025-10-28T07:42:00,1483.85,Economy,181,Other
WW1836,2024-08-16T11:44:00,1352.83,Business,141,Other
AA8242,2025-07-23T00:44:00,774.59,Business,10,Other
SE1086,2024-03-22T23:31:00,696.34,Business,45,Other
WI6604,2025-05-14T00:14:00,173.48,Premium Economy,149,Low Fare
HQ9627,2025-11-13T15:26:00,223.29,Premium Economy,75,Low Fare
FI1264,2025-03-13T18:56:00,1022.66,Business,154,Other
MU5726,2024-11-13T06:30:00,170.18,Premium Economy,76,Low Fare
QK7225,2024-06-08T08:02:00,634.59,Economy,40,Other
YP9854,2025-03-18T14:10:00,115.52,Premium Economy,132,Low Fare
WN3290,2024-01-15T19:49:00,349.13,Economy,194,Low Fare
RW9350,2024-02-18T08:48:00,1164.68,Premium Economy,158,Other
VS5010,2025-04-02T19:05:00,142.46,Business,21,Low Fare
KL3688,2025-02-13T07:58:00,747.75,Economy,41,Other
HA9120,2024-07-05T21:53:00,320.84,Economy,112,Low Fare
YV8746,2024-07-10T02:56:00,201.41,Premium Economy,42,Low Fare
