flightNumber,airline,iataCode,origin,destination,region,departureTime,arrivalTime,duration,fare,fareClass,seatsAvailable,priceCategory,aircraftType,onTimePerformance
AS6934,Alaska Airlines,AS,SFO,FRA,Europe,2025-06-13T14:00:00,2025-06-13T18:19:00,259,240.52,Economy,142,Low Fare,Boeing 787,0.92
WS5001,WestJet,WS,SFO,YYZ,Canada,2025-11-29T08:27:00,2025-11-29T16:27:00,480,173.49,Business,182,Low Fare,Airbus A350,0.77
SK1795,SAS Airlines,SK,SFO,DXB,Middle East,2025-12-09T13:26:00,2025-12-10T00:28:00,662,615.77,Business,56,Other,Airbus A350,0.95
QR1037,Qatar Airways,QR,SFO,PTY,Central America,2024-08-20T21:55:00,2024-08-21T08:35:00,640,767.55,Economy,42,Other,Airbus A320,0.92
OH663,Comair,OH,SFO,YUL,Canada,2025-01-01T12:12:00,2025-01-01T16:42:00,270,151.28,Economy,28,Low Fare,Airbus A350,0.78
QK8128,Air Canada Jazz,QK,SFO,CUN,Mexico,2025-08-01T04:20:00,2025-08-01T14:42:00,622,1156.76,Economy,12,Other,Boeing 787,0.77
NH4127,"All Nippon Company Airways, Ltd.",NH,SFO,AMS,Europe,2025-05-14T19:50:00,2025-05-15T03:42:00,472,284.22,Business,94,Low Fare,Boeing 787,0.91
QF9821,Qantas Airways,QF,SFO,LAX,Australia / Oceania,2025-09-07T16:08:00,2025-09-07T20:14:00,246,311.87,Business,74,Low Fare,Airbus A350,0.89
DL1211,El Al Israel Airlines LTD.,DL,SFO,MEX,Mexico,2025-05-11T12:40:00,2025-05-11T22:02:00,562,1209.63,Economy,19,Other,Boeing 737,0.8
HX3708,Hong Kong Airlines Limited,HX,SFO,JFK,US,2025-06-19T14:09:00,2025-06-19T21:02:00,413,597.4,Premium Economy,27,Other,Airbus A350,0.9
9W2369,Jet Airways,9W,SFO,LAX,South America,2025-07-19T01:31:00,2025-07-19T03:37:00,126,243.84,Premium Economy,65,Low Fare,Boeing 787,0.77
DH279,Independence Air,DH,SFO,DOH,Middle East,2025-06-30T15:07:00,2025-06-30T19:46:00,279,113.48,Premium Economy,159,Low Fare,Airbus A350,0.81
KL4346,KLM Royal Dutch Airlines,KL,SFO,LAX,US,2025-06-11T19:11:00,2025-06-11T22:29:00,198,260.18,Premium Economy,53,Low Fare,Airbus A320,0.8
IB311,Iberia,IB,SFO,LAX,Australia / Oceania,2024-05-06T03:27:00,2024-05-06T10:55:00,448,883.02,Premium Economy,150,Other,Boeing 787,0.73
EV9113,DB Air,EV,SFO,LAX,US,2025-03-14T23:29:00,2025-03-15T10:10:00,641,1424.14,Economy,90,Other,Boeing 737,0.92
JX5022,Starlux Airlines Co. LTD,JX,SFO,DEL,Asia,2025-10-23T07:54:00,2025-10-23T16:03:00,489,325.37,Business,73,Low Fare,Boeing 737,0.89
EV9998,Atlantic Southeast Airlines,EV,SFO,AMS,Europe,2024-04-30T17:13:00,2024-05-01T03:05:00,592,224.33,Economy,153,Low Fare,Airbus A350,0.88
QF9390,Qantas Airways,QF,SFO,YYZ,Canada,2025-07-14T03:56:00,2025-07-14T05:19:00,83,252.59,Premium Economy,44,Low Fare,Boeing 737,0.78
5Y3196,Norwegian Air Shuttle ASA,5Y,SFO,LHR,Europe,2025-09-23T04:41:00,2025-09-23T14:33:00,592,327.58,Premium Economy,143,Other,Airbus A320,0.89
PE3309,Air Europe,PE,SFO,CUN,Mexico,2025-05-27T20:34:00,2025-05-28T07:09:00,635,1067.61,Premium Economy,193,Other,Airbus A320,0.83
B68124,JetBlue Airways,B6,SFO,LAX,Australia / Oceania,2024-08-26T15:41:00,2024-08-26T19:37:00,236,357.69,Premium Economy,84,Low Fare,Airbus A320,0.94
AM4311,Aeromexico,AM,SFO,YVR,Canada,2024-09-20T02:23:00,2024-09-20T05:58:00,215,264.1,Business,38,Low Fare,Airbus A350,0.9
WW436,WOW Air,WW,SFO,ORD,US,2024-02-18T16:58:00,2024-02-18T20:38:00,220,343.57,Premium Economy,134,Other,Airbus A350,0.85
NZ6072,Air New Zealand,NZ,SFO,LAX,South America,2024-04-29T08:21:00,2024-04-29T09:50:00,89,936.03,Economy,148,Other,Airbus A350,0.76
XE3425,ExpressJet Airlines,XE,SFO,SJO,Central America,2025-11-25T09:38:00,2025-11-25T15:36:00,358,103.3,Economy,58,Low Fare,Boeing 737,0.92
QQ3578,Reno Air,QQ,SFO,YUL,Canada,2024-11-25T13:19:00,2024-11-25T17:18:00,239,257.48,Premium Economy,171,Low Fare,Airbus A350,0.82
TK4556,Turkish Airlines,TK,SFO,SJO,Central America,2025-01-21T05:41:00,2025-01-21T09:12:00,211,368.02,Economy,63,Low Fare,Airbus A320,0.84
SQ9359,Singapore Airlines,SQ,SFO,LHR,Europe,2025-06-28T11:52:00,2025-06-28T18:00:00,368,1323.89,Business,138,Other,Boeing 787,0.81
TA1179,"TACA International Airlines, S.A.",TA,SFO,LAX,South America,2025-11-12T11:47:00,2025-11-12T12:47:00,60,202.58,Economy,25,Low Fare,Boeing 737,0.84
XJ2897,Mesaba Airlines,XJ,SFO,LAX,Australia / Oceania,2025-10-20T18:20:00,2025-10-21T06:15:00,715,664.17,Business,103,Other,Boeing 787,0.86
VX3903,Virgin America,VX,SFO,NRT,Asia,2025-10-04T09:54:00,2025-10-04T18:43:00,529,115.34,Business,175,Low Fare,Boeing 737,0.88
UA9752,United Airlines,UA,SFO,LAX,Australia / Oceania,2024-04-06T06:10:00,2024-04-06T07:50:00,100,268.58,Business,193,Low Fare,Boeing 737,0.71
KL8783,KLM Royal Dutch Airlines,KL,SFO,PTY,Central America,2024-04-06T17:35:00,2024-04-07T01:27:00,472,224.26,Economy,197,Low Fare,Boeing 787,0.73
F91904,Frontier Airlines,F9,SFO,CDG,Europe,2025-12-24T21:05:00,2025-12-24T22:49:00,104,424.52,Premium Economy,59,Other,Boeing 787,0.91
WS4682,WestJet,WS,SFO,LHR,Europe,2024-06-05T19:10:00,2024-06-05T20:13:00,63,501.91,Economy,19,Other,Boeing 737,0.94
BA6613,Sports Hawk,BA,SFO,LAX,South America,2025-08-13T05:23:00,2025-08-13T09:53:00,270,389.17,Economy,117,Low Fare,Boeing 787,0.72
YX987,Midwest Airlines,YX,SFO,MEX,Mexico,2024-03-30T18:04:00,2024-03-31T03:30:00,566,1400.9,Business,64,Other,Airbus A350,0.75
AX9659,Trans States Airlines,AX,SFO,ORD,US,2024-11-29T02:46:00,2024-11-29T04:39:00,113,1095.4,Business,112,Other,Airbus A350,0.82
AZ6053,ITA Airways,AZ,SFO,YVR,Canada,2024-06-28T06:14:00,2024-06-28T08:12:00,118,110.15,Economy,32,Low Fare,Airbus A320,0.79
UA7860,United Airlines - Pre 07/01/2013,UA,SFO,HKG,Asia,2024-03-08T19:16:00,2024-03-09T04:35:00,559,301.75,Premium Economy,140,Other,Boeing 787,0.81
FJ7216,Air Pacific Limited dba Fiji Airways,FJ,SFO,LAX,Australia / Oceania,2025-01-16T14:13:00,2025-01-16T16:01:00,108,989.39,Economy,91,Other,Boeing 787,0.71
BA3745,British Airways,BA,SFO,JFK,US,2025-06-27T12:21:00,2025-06-27T15:57:00,216,374.97,Economy,36,Low Fare,Airbus A350,0.94
NW3650,"China Eastern Airlines, Inc",NW,SFO,SJO,Central America,2025-04-16T06:11:00,2025-04-16T10:46:00,275,294.18,Economy,90,Low Fare,Boeing 787,0.71
WO3890,World Airways,WO,SFO,CUN,Mexico,2024-03-10T16:20:00,2024-03-10T23:39:00,439,565.47,Business,17,Other,Boeing 737,0.74
RW6093,Republic Airlines,RW,SFO,YVR,Canada,2025-08-21T15:02:00,2025-08-21T16:04:00,62,545.37,Business,146,Other,Airbus A320,0.79
MQ5031,"Envoy Air, Inc.",MQ,SFO,DOH,Middle East,2025-06-18T08:03:00,2025-06-18T16:11:00,488,703.44,Premium Economy,173,Other,Boeing 787,0.9
XE2604,ExpressJet Airlines,XE,SFO,LAX,US,2024-01-31T07:17:00,2024-01-31T18:15:00,658,897.99,Premium Economy,194,Other,Boeing 787,0.92
TS6124,Air Transat,TS,SFO,LAX,South America,2024-07-15T23:55:00,2024-07-16T02:53:00,178,695.83,Premium Economy,147,Other,Airbus A350,0.94
Y43982,Pacific Aviation,Y4,SFO,DOH,Middle East,2024-08-22T07:10:00,2024-08-22T16:02:00,532,644.38,Economy,135,Other,Airbus A350,0.71
TP5021,TAP Air Portugal,TP,SFO,DXB,Middle East,2024-01-18T04:49:00,2024-01-18T14:11:00,562,370.61,Economy,20,Low Fare,Airbus A320,0.74
PE8224,Air Europe,PE,SFO,MIA,US,2025-11-15T18:46:00,2025-11-16T03:22:00,516,134.86,Business,163,Low Fare,Boeing 787,0.75
SK6241,SAS Airlines,SK,SFO,LAX,South America,2025-06-22T05:48:00,2025-06-22T13:24:00,456,790.0,Business,12,Other,Boeing 737,0.72
QK2140,Jazz Aviation,QK,SFO,DEL,Asia,2025-03-21T19:27:00,2025-03-21T22:34:00,187,216.54,Premium Economy,72,Low Fare,Airbus A350,0.85
BR3688,EVA Airways,BR,SFO,LAX,South America,2025-02-02T09:33:00,2025-02-02T20:33:00,660,1309.35,Business,191,Other,Airbus A350,0.8
VS4613,Virgin Atlantic,VS,SFO,MEX,Mexico,2024-03-22T11:37:00,2024-03-22T16:16:00,279,368.27,Business,77,Other,Airbus A350,0.91
EV4043,Atlantic Southeast Airlines,EV,SFO,YVR,Canada,2025-03-31T12:41:00,2025-03-31T21:53:00,552,375.71,Economy,194,Low Fare,Airbus A350,0.89
MG1550,Champion Air,MG,SFO,YYZ,Canada,2024-11-17T06:54:00,2024-11-17T12:07:00,313,296.69,Economy,81,Low Fare,Airbus A320,0.92
HQ3574,Harmony Airways,HQ,SFO,LAX,South America,2025-01-30T15:29:00,2025-01-31T01:44:00,615,136.91,Premium Economy,101,Low Fare,Airbus A320,0.84
AF6025,Air France,AF,SFO,HKG,Asia,2024-11-15T01:28:00,2024-11-15T10:11:00,523,276.08,Economy,165,Low Fare,Airbus A350,0.78
AX631,Norwegian Air Shuttle ASA,AX,SFO,CDG,Europe,2024-09-02T07:47:00,2024-09-02T11:15:00,208,802.18,Premium Economy,46,Other,Boeing 737,0.82
MX9572,Mexicana Airlines,MX,SFO,CDG,Europe,2025-08-04T18:23:00,2025-08-04T20:29:00,126,296.59,Premium Economy,157,Low Fare,Boeing 787,0.85
OZ345,Asiana Airlines,OZ,SFO,LAX,South America,2024-03-20T20:05:00,2024-03-20T23:44:00,219,1289.92,Premium Economy,90,Other,Boeing 787,0.72
AZ4144,Swissport USA,AZ,SFO,LAX,South America,2024-08-12T15:55:00,2024-08-12T17:19:00,84,947.05,Economy,79,Other,Airbus A320,0.81
XJ8886,Mesaba Airlines,XJ,SFO,JFK,US,2025-07-10T09:11:00,2025-07-10T17:25:00,494,337.54,Business,65,Other,Boeing 787,0.83
PE4928,Air Europe,PE,SFO,AMS,Europe,2024-07-05T14:16:00,2024-07-06T00:18:00,602,323.97,Business,100,Low Fare,Boeing 787,0.95
XJ6834,Mesaba Airlines,XJ,SFO,CUN,Mexico,2024-08-17T08:13:00,2024-08-17T10:20:00,127,421.52,Economy,191,Other,Airbus A350,0.93
XP3590,Xtra Airways,XP,SFO,CUN,Mexico,2025-05-28T09:44:00,2025-05-28T16:25:00,401,236.88,Premium Economy,134,Low Fare,Airbus A350,0.87
XE2559,ExpressJet Airlines,XE,SFO,LAX,Australia / Oceania,2025-07-07T23:44:00,2025-07-08T08:11:00,507,1056.73,Economy,136,Other,Boeing 787,0.7
MX589,"Breeze Aviation Group, Inc.",MX,SFO,LAX,Australia / Oceania,2024-10-18T04:51:00,2024-10-18T07:03:00,132,1495.49,Business,126,Other,Boeing 787,0.93
AS8551,Alaska Airlines,AS,SFO,NRT,Asia,2025-10-11T00:49:00,2025-10-11T06:43:00,354,911.57,Economy,92,Other,Airbus A350,0.7
VS4859,Virgin Atlantic,VS,SFO,LHR,Europe,2024-12-07T21:06:00,2024-12-07T22:29:00,83,365.04,Economy,127,Other,Airbus A320,0.74
CA8257,Air China,CA,SFO,DXB,Middle East,2025-02-01T07:38:00,2025-02-01T17:51:00,613,239.39,Premium Economy,23,Low Fare,Airbus A320,0.92
EK9361,Emirates,EK,SFO,ORD,US,2025-12-07T21:13:00,2025-12-08T06:22:00,549,346.73,Economy,69,Low Fare,Boeing 737,0.76
DL7802,Delta Air Lines,DL,SFO,DXB,Middle East,2024-03-18T04:12:00,2024-03-18T15:05:00,653,378.42,Economy,179,Low Fare,Boeing 737,0.86
FF6395,Tower Air,FF,SFO,ORD,US,2024-04-24T11:24:00,2024-04-24T22:42:00,678,362.59,Premium Economy,56,Low Fare,Airbus A350,0.84
AC6002,El Al Israel Airlines LTD.,AC,SFO,LAX,US,2024-12-22T19:23:00,2024-12-23T02:32:00,429,1385.63,Business,19,Other,Boeing 787,0.89
AC5998,Air Canada,AC,SFO,SIN,Asia,2024-11-29T14:02:00,2024-11-29T16:49:00,167,554.91,Business,117,Other,Airbus A320,0.82
TZ743,ATA Airlines,TZ,SFO,LAX,Australia / Oceania,2025-03-09T02:45:00,2025-03-09T13:18:00,633,358.67,Premium Economy,184,Low Fare,Boeing 737,0.78
EK9449,Emirates,EK,SFO,AMS,Europe,2025-08-15T12:40:00,2025-08-15T20:38:00,478,183.08,Business,39,Low Fare,Airbus A350,0.82
SR6242,Swissair,SR,SFO,PTY,Central America,2024-09-09T17:52:00,2024-09-10T05:17:00,685,278.21,Premium Economy,123,Low Fare,Airbus A350,0.89
TP8379,TAP Air Portugal,TP,SFO,HKG,Asia,2025-06-01T02:41:00,2025-06-01T12:36:00,595,546.91,Premium Economy,38,Other,Boeing 737,0.71
AZ5899,Alitalia Airlines,AZ,SFO,ORD,US,2024-03-07T05:59:00,2024-03-07T14:11:00,492,356.31,Economy,134,Low Fare,Boeing 737,0.92
FI1649,Icelandair (Inactive),FI,SFO,LAX,Australia / Oceania,2024-10-05T23:23:00,2024-10-06T06:31:00,428,156.22,Business,134,Low Fare,Boeing 737,0.79
Z03119,"Norse Atlantic UK, Ltd.",Z0,SFO,SIN,Asia,2024-08-08T15:37:00,2024-08-08T17:09:00,92,199.04,Premium Economy,105,Low Fare,Airbus A350,0.76
AS6404,Alaska Airlines,AS,SFO,AMS,Europe,2025-08-20T04:07:00,2025-08-20T11:10:00,423,316.05,Premium Economy,197,Other,Airbus A350,0.83
AC4144,Air Canada,AC,SFO,HKG,Asia,2025-01-29T08:10:00,2025-01-29T16:59:00,529,360.49,Business,142,Low Fare,Boeing 787,0.75
VX250,Virgin America,VX,SFO,MIA,US,2025-03-21T11:55:00,2025-03-21T22:49:00,654,347.84,Business,83,Low Fare,Boeing 787,0.7
9W5756,Jet Airways,9W,SFO,DOH,Middle East,2025-01-26T07:42:00,2025-01-26T17:17:00,575,1015.49,Economy,194,Other,Airbus A320,0.89
SS8622,Corsairfly,SS,SFO,PTY,Central America,2025-06-07T22:52:00,2025-06-08T05:47:00,415,391.35,Business,147,Low Fare,Airbus A350,0.84
NW7144,Northwest Airlines (became Delta),NW,SFO,CUN,Mexico,2024-09-12T09:26:00,2024-09-12T17:12:00,466,1078.66,Economy,124,Other,Airbus A320,0.9
BA4602,British Airways,BA,SFO,DEL,Asia,2025-08-07T07:13:00,2025-08-07T13:17:00,364,477.92,Premium Economy,92,Other,Boeing 737,0.93
SE3928,XL Airways France,SE,SFO,YVR,Canada,2025-01-20T14:06:00,2025-01-20T23:03:00,537,502.18,Economy,161,Other,Boeing 737,0.91
MT3475,Trego Dugan Aviation,MT,SFO,LAX,South America,2025-09-08T23:12:00,2025-09-09T04:59:00,347,372.83,Premium Economy,78,Other,Boeing 737,0.77
CP4499,Compass Airlines,CP,SFO,ORD,US,2025-10-04T12:37:00,2025-10-04T16:25:00,228,233.69,Economy,54,Low Fare,Boeing 787,0.91
A81614,Ameriflight,A8,SFO,LAX,South America,2025-05-09T02:11:00,2025-05-09T14:03:00,712,935.8,Economy,198,Other,Boeing 737,0.77
9W4936,Jet Airways,9W,SFO,DEL,Asia,2024-12-22T10:46:00,2024-12-22T18:20:00,454,126.94,Business,172,Low Fare,Airbus A320,0.83
5Y276,"Atlas Air, Inc",5Y,SFO,LAX,US,2025-08-07T05:13:00,2025-08-07T12:22:00,429,251.58,Business,88,Low Fare,Airbus A350,0.73
NK1964,Spirit Airlines,NK,SFO,LAX,Australia / Oceania,2025-10-02T21:09:00,2025-10-03T01:14:00,245,1467.26,Business,161,Other,Boeing 787,0.88
LP1201,LAN Peru,LP,SFO,LAX,Australia / Oceania,2024-08-27T14:51:00,2024-08-27T20:08:00,317,619.13,Premium Economy,65,Other,Airbus A320,0.88
EI7037,"Aer Lingus, Ltd.",EI,SFO,NRT,Asia,2024-05-30T01:02:00,2024-05-30T02:03:00,61,865.05,Premium Economy,148,Other,Airbus A320,0.84
SS9520,Corsairfly,SS,SFO,MIA,US,2025-03-19T00:06:00,2025-03-19T11:26:00,680,808.01,Premium Economy,199,Other,Boeing 787,0.9
NK487,Spirit Airlines,NK,SFO,DXB,Middle East,2024-12-23T05:43:00,2024-12-23T15:33:00,590,212.98,Business,27,Low Fare,Airbus A320,0.91
VX5027,Virgin America,VX,SFO,CUN,Mexico,2025-04-07T21:40:00,2025-04-07T23:48:00,128,387.62,Premium Economy,151,Low Fare,Boeing 787,0.84
HX7139,Hong Kong Airlines Limited,HX,SFO,LAX,Australia / Oceania,2025-08-14T01:19:00,2025-08-14T04:53:00,214,658.8,Business,137,Other,Boeing 787,0.8
AF7442,Air France,AF,SFO,DXB,Middle East,2025-02-09T04:31:00,2025-02-09T06:13:00,102,305.82,Business,71,Low Fare,Airbus A350,0.79
TK7675,Turkish Airlines,TK,SFO,LAX,South America,2024-07-14T15:13:00,2024-07-14T19:19:00,246,140.11,Premium Economy,184,Low Fare,Airbus A350,0.73
CA894,Air China,CA,SFO,DOH,Middle East,2024-08-22T01:39:00,2024-08-22T04:13:00,154,1172.03,Premium Economy,158,Other,Airbus A350,0.92
BA1420,British Airways,BA,SFO,HKG,Asia,2024-06-01T18:48:00,2024-06-02T02:28:00,460,175.44,Business,186,Low Fare,Boeing 787,0.89
CI9036,Aeroflot Russian International Airlines,CI,SFO,MEX,Mexico,2024-06-22T14:15:00,2024-06-23T00:52:00,637,543.29,Business,123,Other,Airbus A320,0.92
AC6501,Air Canada,AC,SFO,LAX,South America,2025-10-23T09:33:00,2025-10-23T13:14:00,221,1124.32,Business,154,Other,Airbus A320,0.92
BF2041,French Bee,BF,SFO,CDG,Europe,2024-12-20T06:33:00,2024-12-20T12:35:00,362,852.64,Premium Economy,62,Other,Airbus A320,0.86
HA4946,Hawaiian Airlines,HA,SFO,DOH,Middle East,2025-05-23T05:58:00,2025-05-23T13:47:00,469,194.64,Economy,61,Low Fare,Boeing 737,0.88
CC1053,Air Atlanta Icelandic,CC,SFO,CUN,Mexico,2024-07-25T19:08:00,2024-07-25T23:16:00,248,834.48,Business,163,Other,Boeing 737,0.76
CI9060,China Airlines,CI,SFO,MIA,US,2024-04-15T10:41:00,2024-04-15T15:28:00,287,344.81,Premium Economy,115,Other,Airbus A350,0.9
SS391,Corsairfly,SS,SFO,NRT,Asia,2025-10-14T08:23:00,2025-10-14T16:14:00,471,1039.85,Business,14,Other,Airbus A350,0.95
S61923,Star Air,S6,SFO,DXB,Middle East,2024-06-04T13:09:00,2024-06-04T22:32:00,563,363.49,Economy,160,Low Fare,Boeing 737,0.94
S69779,Star Air,S6,SFO,DXB,Middle East,2024-01-31T18:44:00,2024-01-31T19:58:00,74,501.91,Premium Economy,19,Other,Airbus A320,0.71
QR2776,DB Air,QR,SFO,LAX,South America,2024-12-28T05:10:00,2024-12-28T14:36:00,566,615.82,Premium Economy,50,Other,Boeing 737,0.75
SK6673,SAS Airlines,SK,SFO,LAX,South America,2025-12-15T13:23:00,2025-12-15T23:01:00,578,271.51,Business,71,Low Fare,Boeing 737,0.88
OH9325,Comair,OH,SFO,DXB,Middle East,2025-08-31T15:07:00,2025-08-31T23:32:00,505,162.9,Premium Economy,163,Low Fare,Airbus A350,0.88
KL641,Allegro Airlines,KL,SFO,DEL,Asia,2024-04-06T00:32:00,2024-04-06T04:12:00,220,317.94,Premium Economy,144,Low Fare,Airbus A320,0.8
AX8800,Trans States Airlines,AX,SFO,FRA,Europe,2025-04-05T04:58:00,2025-04-05T16:55:00,717,126.79,Business,77,Low Fare,Airbus A320,0.85
QR7656,Qatar Airways,QR,SFO,YUL,Canada,2024-04-27T19:28:00,2024-04-28T04:18:00,530,193.54,Premium Economy,157,Low Fare,Airbus A320,0.9
F95185,Frontier Airlines,F9,SFO,DXB,Middle East,2024-10-09T23:20:00,2024-10-10T01:27:00,127,321.61,Business,50,Low Fare,Boeing 737,0.77
AA9176,American Airlines,AA,SFO,MEX,Mexico,2025-04-19T06:54:00,2025-04-19T12:06:00,312,300.84,Economy,141,Other,Airbus A350,0.9
CI7735,China Airlines,CI,SFO,LAX,South America,2024-08-09T09:18:00,2024-08-09T18:48:00,570,158.39,Premium Economy,113,Low Fare,Boeing 787,0.84
EZ3343,Evergreen International Airlines,EZ,SFO,HKG,Asia,2024-03-11T19:26:00,2024-03-11T22:18:00,172,282.64,Business,85,Low Fare,Boeing 787,0.92
AZ3704,Alitalia Airlines,AZ,SFO,MEX,Mexico,2024-10-14T08:38:00,2024-10-14T15:20:00,402,231.13,Business,140,Low Fare,Boeing 787,0.73
BR9297,EVA Airways,BR,SFO,MIA,US,2024-05-15T14:40:00,2024-05-15T17:36:00,176,379.61,Economy,41,Other,Boeing 787,0.92
EI8535,"Aer Lingus, Ltd.",EI,SFO,SIN,Asia,2025-12-22T06:18:00,2025-12-22T09:03:00,165,1164.46,Business,184,Other,Airbus A320,0.71
CZ4447,China Southern,CZ,SFO,LAX,South America,2024-03-07T20:26:00,2024-03-08T04:57:00,511,204.37,Economy,140,Low Fare,Boeing 737,0.77
CI2732,China Airlines,CI,SFO,MIA,US,2025-06-04T12:34:00,2025-06-04T14:50:00,136,1301.58,Business,25,Other,Airbus A350,0.74
UA9014,United Airlines - Pre 07/01/2013,UA,SFO,YUL,Canada,2025-11-28T14:10:00,2025-11-29T00:16:00,606,1150.2,Premium Economy,97,Other,Boeing 737,0.73
YP4829,"Air Premia, Inc.",YP,SFO,LAX,Australia / Oceania,2025-09-13T06:06:00,2025-09-13T10:44:00,278,901.57,Business,73,Other,Boeing 737,0.75
AI1897,Air India Limited,AI,SFO,DXB,Middle East,2024-12-12T18:57:00,2024-12-12T23:27:00,270,343.97,Business,51,Low Fare,Airbus A320,0.91
WW8922,WOW Air,WW,SFO,CDG,Europe,2025-06-09T06:49:00,2025-06-09T10:17:00,208,395.29,Premium Economy,53,Low Fare,Boeing 737,0.9
HQ6418,Harmony Airways,HQ,SFO,DXB,Middle East,2025-07-16T03:49:00,2025-07-16T15:46:00,717,520.25,Business,32,Other,Boeing 787,0.78
MX6762,Mexicana Airlines,MX,SFO,YYZ,Canada,2024-06-11T08:50:00,2024-06-11T12:53:00,243,611.96,Business,37,Other,Boeing 737,0.72
CP6455,Compass Airlines,CP,SFO,YYZ,Canada,2024-12-03T00:15:00,2024-12-03T01:44:00,89,311.76,Business,144,Low Fare,Airbus A320,0.77
QR4093,Qatar Airways,QR,SFO,YYZ,Canada,2025-02-22T04:30:00,2025-02-22T06:25:00,115,370.03,Premium Economy,188,Low Fare,Airbus A350,0.94
XP5318,Xtra Airways,XP,SFO,LAX,South America,2025-11-05T01:49:00,2025-11-05T04:17:00,148,1353.37,Business,154,Other,Boeing 787,0.79
AY3792,Finnair,AY,SFO,LHR,Europe,2025-08-17T20:21:00,2025-08-18T03:45:00,444,392.13,Premium Economy,10,Low Fare,Airbus A320,0.94
RW3074,Republic Airlines,RW,SFO,LAX,Australia / Oceania,2024-06-21T07:45:00,2024-06-21T13:54:00,369,532.32,Economy,58,Other,Airbus A320,0.75
MT6213,Air Italy S.P.A,MT,SFO,FRA,Europe,2024-05-11T23:39:00,2024-05-12T08:33:00,534,1316.08,Business,136,Other,Airbus A350,0.89
LX4891,Swiss International,LX,SFO,MIA,US,2024-12-19T16:56:00,2024-12-19T22:10:00,314,358.31,Business,159,Low Fare,Airbus A320,0.75
BA5268,British Airways,BA,SFO,MEX,Mexico,2025-12-01T03:16:00,2025-12-01T12:41:00,565,333.02,Economy,105,Low Fare,Airbus A350,0.83
AF5236,Air France,AF,SFO,DOH,Middle East,2025-09-22T13:33:00,2025-09-22T16:43:00,190,394.35,Business,45,Low Fare,Boeing 737,0.71
TW8505,TWA,TW,SFO,YVR,Canada,2025-03-10T13:17:00,2025-03-10T20:25:00,428,1012.81,Economy,10,Other,Airbus A320,0.75
ZW8389,Air Wisconsin,ZW,SFO,YUL,Canada,2024-12-11T11:01:00,2024-12-11T20:51:00,590,140.97,Economy,80,Low Fare,Boeing 787,0.93
NH4363,"All Nippon Company Airways, Ltd.",NH,SFO,YVR,Canada,2024-05-03T11:55:00,2024-05-03T14:27:00,152,378.09,Premium Economy,157,Low Fare,Airbus A350,0.84
VX8982,Virgin America,VX,SFO,MEX,Mexico,2024-06-25T04:56:00,2024-06-25T16:03:00,667,1298.42,Business,117,Other,Boeing 787,0.7
LH4781,Lufthansa German Airlines,LH,SFO,LHR,Europe,2025-09-01T11:17:00,2025-09-01T22:37:00,680,339.03,Business,138,Other,Airbus A350,0.95
CA5847,Air China,CA,SFO,SJO,Central America,2025-02-02T12:29:00,2025-02-02T17:49:00,320,368.74,Business,34,Low Fare,Boeing 737,0.7
TW7540,TWA,TW,SFO,LAX,South America,2024-07-19T23:18:00,2024-07-20T08:22:00,544,117.9,Economy,36,Low Fare,Boeing 787,0.84
AY7974,Finnair,AY,SFO,LAX,Australia / Oceania,2024-05-31T21:42:00,2024-06-01T03:02:00,320,722.64,Business,57,Other,Boeing 787,0.87
BA5685,British Airways,BA,SFO,CUN,Mexico,2025-11-10T21:16:00,2025-11-10T23:04:00,108,167.77,Business,42,Low Fare,Boeing 737,0.72
Z06410,"Norse Atlantic UK, Ltd.",Z0,SFO,LAX,Australia / Oceania,2024-11-20T05:30:00,2024-11-20T15:40:00,610,730.43,Economy,86,Other,Airbus A350,0.85
AA9008,American Airlines,AA,SFO,MIA,US,2025-06-10T02:14:00,2025-06-10T08:19:00,365,305.8,Business,167,Low Fare,Boeing 737,0.81
CM4697,"COPA Airlines, Inc.",CM,SFO,YYZ,Canada,2025-07-11T09:40:00,2025-07-11T16:29:00,409,129.58,Premium Economy,185,Low Fare,Airbus A350,0.72
AS6290,Alaska Airlines,AS,SFO,LAX,South America,2025-05-24T11:36:00,2025-05-24T15:59:00,263,233.58,Premium Economy,123,Low Fare,Airbus A350,0.81
N73157,National Airlines,N7,SFO,JFK,US,2024-11-12T20:01:00,2024-11-12T23:27:00,206,609.83,Economy,130,Other,Boeing 787,0.74
NW2339,Northwest Airlines (became Delta),NW,SFO,LAX,South America,2024-09-28T02:10:00,2024-09-28T05:20:00,190,265.72,Premium Economy,153,Low Fare,Boeing 737,0.89
MQ272,American Eagle Airlines,MQ,SFO,LAX,South America,2025-06-29T09:33:00,2025-06-29T18:40:00,547,290.33,Premium Economy,134,Low Fare,Boeing 737,0.85
AA4559,American Airlines,AA,SFO,LAX,South America,2024-11-22T15:23:00,2024-11-22T17:00:00,97,221.95,Premium Economy,118,Low Fare,Boeing 737,0.83
CP4308,Pacific Aviation,CP,SFO,LAX,US,2025-02-08T17:24:00,2025-02-08T19:42:00,138,834.02,Premium Economy,188,Other,Airbus A350,0.74
AS3228,Alaska Airlines,AS,SFO,LAX,South America,2025-12-03T13:12:00,2025-12-03T21:23:00,491,358.67,Economy,134,Low Fare,Boeing 787,0.89
